0_ID	Name	Address	Phone Number	Website	Monday Hours	Tuesday Hours	Wednesday Hours	Thursday Hours	Friday Hours	Saturday Hours	Sunday Hours
ChIJ9wiwlYEB0kwRyEbuZfKPP3k	Thai Express Restaurant Ottawa	Signature Center, 499 Terry Fox Dr, Kanata, ON K2T 1H7, Canada	(613) 270-8860	https://thaiexpress.ca/locations/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJ9wyR_gf_zUwRcJUVQarsB-k	PI•RHO Grill-Kanata	451 Hazeldean Rd Unit E-5, Kanata, ON K2L 1V1, Canada	(613) 836-3777	http://pirhogrill.com/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJA4AksSEBzkwRU4GEhFXTo4Q	OB&O Afro-Caribbean Restaurant	3059 Carling Ave, Ottawa, ON K2B 7K4, Canada	(343) 984-5332	http://obando.ca/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	10:00 - 19:00	n/a
ChIJA5RYbt4AzkwRg7rDXSwLZBk	Do Good Food	80 Burland St, Ottawa, ON K2B 6K1, Canada	(613) 695-0700	https://m.facebook.com/Do-Good-Food-654243231290325/	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	12:30 - 20:00	n/a
ChIJAQC0Et4AzkwR7R68jhyeYEA	That's A Wrap	3007 Carling Ave, Ottawa, ON K2B 7Y6, Canada	n/a	n/a	14:00 - 18:00	11:00 - 15:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00
ChIJAQz3Iw4HzkwR3Em3HL_cypA	Bella's Boys	250 Greenbank Rd Unit 12, Nepean, ON K2H 8X4, Canada	(613) 695-1900	http://www.bellas.ca/	11:00 - 16:00	11:00 - 18:00	11:00 - 18:00	11:00 - 18:00	11:00 - 18:30	11:00 - 16:00	n/a
ChIJART0faoFzkwRyOpq_keUaHE	Grill 41	100 Elgin St, Ottawa, ON K1P 5K8, Canada	(613) 569-2126	http://www.grill41.ca/	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00	06:00 - 23:00
ChIJAUYhO5__zUwROJJKSjyVgQY	KFC	475 Hazeldean Rd, Kanata, ON K2L 1V1, Canada	(613) 836-4011	https://www.kfc.ca/menu/for-sharing?utm_source=Google&utm_medium=LocalSearch	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJAV7Y6fAAzkwRXJ7NXZptYqc	NSC Galley	3259 Carling Ave, Nepean, ON K2H 1A6, Canada	(613) 829-6462	http://nsc.ca/web2/blog/category/galley/	12:00 - 20:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	12:00 - 20:00
ChIJAY1KnpD_0UwRS_iLWjRD0qM	Phu-Yen Restaurant	700 March Rd, Kanata, ON K2K 2V9, Canada	(613) 599-0006	http://phu-yenrestaurant.com/	15:30 - 20:00	11:30 - 20:00	11:30 - 20:00	11:30 - 20:00	11:30 - 20:00	11:30 - 20:00	15:30 - 20:00
ChIJAY1KnpD_0UwRWnjHYHQfFV8	Burger King	700 March Rd, Kanata, ON K2K 2V6, Canada	(613) 599-7102	https://www.burgerking.ca/store-locator/store/restaurant_4867	07:00 - 22:00	07:00 - 22:00	07:00 - 22:00	07:00 - 22:00	07:00 - 22:00	07:00 - 22:00	07:00 - 22:00
ChIJAY1KnpD_0UwRrex26_OyHVU	Papa Sam's Restaurant	710 March Rd, Kanata, ON K2K 2V9, Canada	(613) 591-8080	http://www.papasamrestaurantkanata.com/	15:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	15:00 - 21:00
ChIJAZliBVv8zUwRksRc82vqvtc	Costco Food Court	4315 Strandherd Dr, Nepean, ON K2J 5P8, Canada	(613) 714-0935	https://m.costco.ca/warehouse-locations/nepean-on-1263.html?utm_source=local&utm_medium=organic&utm_campaign=gmb	09:00 - 18:00	09:00 - 20:30	09:00 - 20:30	09:00 - 20:30	09:00 - 20:30	09:00 - 20:30	09:00 - 18:00
ChIJA_SVl0n9zUwRfJywj3qhEUg	Mad Radish	34 Highbury Park Dr Unit 2, Nepean, ON K2J 5C6, Canada	(613) 440-0480	http://www.madradish.com/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJAyx6_XgHzkwRbTL-w6aGRec	The Grilled Tomato	70 Bongard Ave, Nepean, ON K2E 7Z9, Canada	(343) 341-0866	http://www.thegrilledtomato.ca/	08:30 - 16:30	08:30 - 16:30	08:30 - 16:30	08:30 - 16:30	08:30 - 16:30	n/a	n/a
ChIJB7PtO54AzkwRaXEfu3lMU6o	Subway	2090 Robertson Rd Unit Q, Nepean, ON K2H 8V5, Canada	(613) 596-6462	https://restaurants.subway.com/canada/on/nepean/2090-robertson-road?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=4731&utm_campaign=evergreen-2020&y_source=1_MTQ5MTkyMzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	09:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	09:00 - 22:00
ChIJBQs3mb__zUwRIajWc75H8AI	Spicy & Yummy	185 Romina St, Ottawa, ON K2S 0J7, Canada	(613) 558-6989	n/a	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00
ChIJBUJVKhMB0kwRECj4qr1mgJ8	Villa Madina	8555 Campeau Dr, Kanata, ON K2T 1B7, Canada	(613) 831-6656	http://villamadina.com/en/locations?utm_source=G&utm_medium=LPM&utm_campaign=MTY	10:00 - 18:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00	n/a
ChIJBWavZsMAzkwRh4RKLQiHhC8	Jimmy The Greek	Bayshore Shopping Centre 100 Bayshore Shopping, Unit 07, Ottawa, ON K2B 8C1, Canada	(613) 878-5996	http://www.jimmythegreek.com/	12:00 - 17:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00
ChIJBc2eLnEA0kwRBfl5ATCS0p0	Harvey's	150 Earl Grey Dr, Kanata, ON K2T 1B6, Canada	(613) 599-1336	https://www.harveys.ca/	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:30 - 23:00	10:30 - 22:00
ChIJBc2eLnEA0kwRUH3GAE9tYrE	Mucho Burrito Fresh Mexican Grill	160 Earl Grey Dr, Kanata, ON K2T 1B6, Canada	(613) 595-0007	https://locations.muchoburrito.com/ll/CA/ON/Kanata/160-Earl-Grey-Dr	10:30 - 21:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:00	10:30 - 22:30
ChIJBfqKtnr3zUwRrP8GQb7geSE	George's Bar & Grill	2858 Munster Rd, Ottawa, ON K0A 3P0, Canada	(613) 838-2521	https://georgesbarandgrill.ca/	11:30 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 00:00	11:30 - 01:00	11:30 - 23:00
ChIJCWl_zooA0kwR40d2zNrbo14	Subway	8555 Campeau Dr Suite 595, Ottawa, ON K2T 1B7, Canada	(613) 831-8110	https://restaurants.subway.com/canada/on/ottawa/8555-campeau-drive?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=63885&utm_campaign=evergreen-2020&y_source=1_MTQ5MTkwMDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	09:00 - 18:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00
ChIJCZvde6L_zUwRr4azHWgrHvY	Greek On Wheels	444 Hazeldean Rd, Kanata, ON K2L 1V2, Canada	(613) 836-5757	http://www.greekonwheels.ca/	15:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJC_rSMp3_zUwRTfd2uB5kIUg	East Side Mario's	651 Terry Fox Dr, Kanata, ON K2L 4E7, Canada	(613) 836-3680	https://eastsidemarios.com/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00
ChIJCd9DJmUFzkwRyAtFYCopIdQ	Banh Mi Yes	BanhMiYes (@Commercial Kitchen Maison K, 101 Schneider Rd Unit 4, Kanata, ON K2K 1Y3, Canada	(613) 867-7688	https://www.banhmiyes.com/	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	n/a
ChIJD3GQAgL_zUwRCqNfgONsIWI	Harvey's	690 Eagleson Rd, Kanata, ON K2M 2G9, Canada	(613) 599-4400	https://www.harveys.ca/	10:30 - 22:30	10:30 - 22:30	10:30 - 22:30	10:30 - 22:30	10:30 - 22:30	10:30 - 22:30	10:30 - 22:30
ChIJD3GQAgL_zUwRM2DuP-Ughlg	Pita Pit	700 Eagleson Rd, Kanata, ON K2M 2G9, Canada	(613) 271-7482	https://pitapit.ca/locations/kanata?utm_source=gmb&utm_medium=organic&utm_campaign=local&y_source=1_MTMwNzg0MzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00
ChIJD520L_4BzkwRZKIsIj-cVUM	Tannour Shawarma and Bakery	10 Rue Belmont, Gatineau, QC J9H 6J5, Canada	(819) 685-9292	http://tannour-shawarma.ca/	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	n/a
ChIJD5in3tr_0UwR1avBcGQ2qKM	Farinella Kanata	806 March Rd Unit #1, Kanata, ON K2W 0C9, Canada	(613) 592-7775	https://www.farinellaeats.com/	12:00 - 20:00	12:00 - 20:00	12:00 - 20:00	12:00 - 20:00	12:00 - 20:00	12:00 - 20:00	n/a
ChIJD6xCtgH_zUwR-wE5VJ9tfUc	Tim Hortons	650 Eagleson Rd, Kanata, ON K2M 1H4, Canada	(613) 271-2696	https://locations.timhortons.ca/on/kanata/650-eagleson-rd	00:00 - 	n/a	n/a	n/a	n/a	n/a	n/a
ChIJDVdoriwHzkwR1euAiUA5y7k	Sonny's Bar & Grill	1119 Baxter Rd, Ottawa, ON K2C 1M1, Canada	(613) 829-1920	http://sonnysbarandgrillottawa.com/	08:00 - 02:00	08:00 - 02:00	08:00 - 02:00	08:00 - 02:00	08:00 - 02:00	08:00 - 02:00	08:00 - 02:00
ChIJDVpmGZ4AzkwRGAEcjXKFRxk	Big Mort's Little Pub	2011 Robertson Rd, Nepean, ON K2H 7P4, Canada	(613) 829-0123	https://mortspub.com/	15:00 - 20:00	16:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	15:00 - 20:00
ChIJDVpmGZ4AzkwRzvUmMia7PbM	Bell's Subs and Pizza	2011 Robertson Rd, Nepean, ON K2H 5Y7, Canada	(613) 829-1758	n/a	12:00 - 21:00	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 22:00
ChIJDZ-52wAA0kwRP8ADVPj3BfY	Soup'er Sandwich	1002 Beaverbrook Rd, Kanata, ON K2K 1L1, Canada	n/a	n/a	10:30 - 16:30	10:30 - 16:30	10:30 - 16:30	10:30 - 16:30	10:30 - 16:30	n/a	n/a
ChIJDwwelSwHzkwRY43oajhGm4g	Milano Pizzeria	2529 Baseline Rd, Ottawa, ON K2C 0E3, Canada	(613) 829-5777	https://bit.ly/3oQnwQ2	10:30 - 00:00	10:30 - 00:00	10:30 - 00:00	10:30 - 00:00	10:30 - 00:00	10:30 - 02:00	10:30 - 02:00
ChIJE3EbfZ8AzkwRaWwQP42z-08	Thai Flame Restaurant	1902 Robertson Rd #104, Nepean, ON K2H 5B8, Canada	(613) 695-9188	http://thai-flame.ca/	16:30 - 20:00	11:30 - 14:00	16:30 - 20:00	11:30 - 14:00	16:30 - 20:00	11:30 - 14:00	16:30 - 20:00
ChIJEU82tcABzkwRI2rh6CsimSY	Manchu Wok	100 Bayshore Dr #FC - 03, Nepean, ON K2B 8C1, Canada	(613) 828-8880	http://www.manchuwok.com/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	11:00 - 17:00	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00
ChIJEYPVqVYC0kwRs7Ckt14OtbQ	Xronos Fish & Chips	1613 Diamondview Rd, Carp, ON K0A 1L0, Canada	(613) 291-7117	http://xronos-fish-chips.business.site/	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00	11:00 - 15:00
ChIJE_VOv_f_0UwRTFH13-IHbH8	Luna Crepes & Cafe	329 March Rd #110, Kanata, ON K2K 2E1, Canada	(613) 254-5551	http://www.lunacafe.ca/	09:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	n/a
ChIJE_VOv_f_0UwR_QG0jR-qs5k	The Royal Oak - Kanata	329 March Rd, Kanata, ON K2K 2E1, Canada	(613) 591-3895	http://www.royaloakpubs.com/	11:00 - 00:00	11:30 - 00:00	11:30 - 00:00	11:30 - 00:00	11:30 - 02:00	11:30 - 02:00	11:00 - 02:00
ChIJExYU4nwBzkwRktcbE-GQkKo	Shawarmati	548 Chem. d'Aylmer, Gatineau, QC J9H 1B1, Canada	(819) 561-4000	http://www.gokitchens.ca/	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00
ChIJF-bNheT9zUwR87kQ61IV9Fo	Tutti Frutti breakfast & lunch	4335 Strandherd Dr, Barrhaven, ON K2J 6E5, Canada	(613) 825-7100	https://tuttifruttidejeuners.com/en/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	07:00 - 15:00	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	07:00 - 14:00	07:00 - 15:00
ChIJFfdtaoT9zUwR6xnwWutL1bM	Fat Les's Chip Stand & Wham Burger!	3779 Strandherd Dr, Nepean, ON K2J 5M4, Canada	(613) 701-8333	https://www.fatleschipstandwhamburger.ca/	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00
ChIJG2YS1Or_0UwR-4s6MCF-xv8	Ironstone Grill at The Marshes Golf Club	320 Terry Fox Dr, Kanata, ON K2K 3L1, Canada	(613) 271-3370	https://www.marshesgolfclub.com/ironstone-grill	11:00 - 15:30	11:00 - 15:30	11:00 - 22:00	11:00 - 20:00	11:00 - 20:00	n/a	n/a
ChIJG4asS8ABzkwR2QPhiSOL90Y	bon burrito inc	181 Rue Principale, Gatineau, QC J9H 6A6, Canada	(819) 684-5775	n/a	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 19:00	n/a
ChIJGQSI9Hf_zUwR7UYwuZ104es	Tirweka	473 Hazeldean Rd Unit 9, Ottawa, ON K2L 1V1, Canada	(613) 836-1777	https://www.tirweka.com/	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	n/a
ChIJGSB6Q1b-zUwRLHB1QGzLL30	Gabriel Pizza	62 Stonehaven Dr, Kanata, ON K2M 2Y2, Canada	(613) 319-7777	https://gabrielpizza.com/	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00	08:00 - 22:00
ChIJGSbVG5__zUwRkeARtF-Ul7Q	Shawarma Prince	484 Hazeldean Rd, Kanata, ON K2L 1V4, Canada	(613) 831-0090	https://shawarmaprincekanata.com/	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 22:00
ChIJGSmAbowBzkwRTezZg36qCZc	Shawarma Santé	204 Chem. d'Aylmer, Gatineau, QC J9H 1A1, Canada	(819) 685-9111	n/a	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 19:00	n/a
ChIJG_9lWC8BzkwRl7De2PXt8fU	Shawarma Garlic & Onion	1465 Richmond Rd, Ottawa, ON K2B 6R9, Canada	(613) 829-8282	https://facebook.com/pg/garlicandbassal/menu/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJG_I-Dlr8zUwRZVwai5imhq0	A&W Canada	4255 Strandherd Dr, Ottawa, ON K2J 6E5, Canada	(613) 823-2510	http://aw.ca/	06:00 - 00:00	06:00 - 00:00	06:00 - 00:00	06:00 - 00:00	06:00 - 00:00	06:00 - 00:00	06:00 - 00:00
ChIJGxab54UHzkwR6_o36dAR4ss	La Casa Del Gusto	1460 Merivale Rd, Nepean, ON K2E 5P2, Canada	(613) 695-4022	https://www.lacasadelgusto.ca/	09:00 - 14:30	18:00 - 21:00	09:00 - 14:30	09:00 - 14:30	18:00 - 21:00	09:00 - 14:30	18:00 - 21:00
ChIJH-kbdlwHzkwRZoS8rJnaJMU	New Hong Shing Restaurant	285 Greenbank Rd, Nepean, ON K2H 8K9, Canada	(613) 828-2168	https://newhongshing.com/	12:30 - 20:30	12:30 - 20:30	12:30 - 20:30	12:30 - 20:30	12:30 - 20:30	12:30 - 20:30	n/a
ChIJH5vxjakA0kwRSlAbnt8hbfg	Napoli's Café	1300 Stittsville Main St, Stittsville, ON K2S 1A3, Canada	(613) 836-7722	http://www.napoliscafe.com/	17:00 - 21:00	17:00 - 22:00	11:30 - 15:00	17:00 - 22:00	11:30 - 15:00	17:00 - 22:00	11:30 - 15:00
ChIJHX0spcMAzkwRP_Y9XcncMPM	Mac's sushi	Shopping Centre, 100 Bayshore Dr, Nepean, ON K2B 8S8, Canada	(877) 736-2871	http://macssushi.com/	10:00 - 18:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00
ChIJHdZpzyn_0UwRP_RIAHmb7MU	Markie's Montreal Smoked Meat	1106 Klondike Rd Unit D, Kanata, ON K2K 0G1, Canada	(613) 592-1191	https://markiessmokedmeats.ca/	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJHeK5vzQHzkwRWy7XOq-nJhk	Mr Shawarma	2555 Baseline Rd, Ottawa, ON K2H 7B3, Canada	(613) 726-1222	http://mrshawarma.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00
ChIJHfdKeaIAzkwR9J7qxnlGU9Q	Ishina Distinguished Indian Cuisine Inc	14 Bexley Pl #100, Nepean, ON K2H 8W2, Canada	(613) 721-1067	http://ishina.ca/	11:00 - 16:00	11:00 - 16:00	11:00 - 16:00	11:00 - 16:00	11:00 - 16:00	11:00 - 20:00	11:00 - 20:00
ChIJHwKsuXD_zUwR4seS6sbpbZQ	Thai Express Restaurant Kanata	Grant Crossing, 5507 Hazeldean Rd, Stittsville, ON K2S 0P5, Canada	(613) 836-4446	https://thaiexpress.ca/locations/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	11:00 - 20:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	n/a
ChIJHzkPpz_6zUwRm-_7oFyYxwI	Milano Pizzeria	6179 Perth St, Richmond, ON K0A 2Z0, Canada	(613) 838-4334	https://bit.ly/3iYqtfm	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJI8CvUW4A0kwRtYNOhVfrFxY	Zak's Diner Kanata	499 Terry Fox Dr, Kanata, ON K2T 1H7, Canada	(613) 435-5483	http://zaksdiner.com/	07:00 - 21:00	07:00 - 21:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00
ChIJIT0FUHQA0kwR8BDTwmiFe0I	Bâton Rouge Grillhouse & Bar	790 Earl Grey Dr Unit M3, Kanata, ON K2T 1H8, Canada	(613) 591-3655	https://www.batonrouge.ca/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00
ChIJIWEH3R4BzkwRXX17zUZ1sOQ	Cultures	Shopping Centre, 100 Bayshore Dr, Nepean, ON K2B 8C1, Canada	(613) 790-7068	https://cultures-restaurants.com/restaurant/?utm_source=G&utm_medium=LPM&utm_campaign=MTY	12:00 - 17:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	n/a
ChIJIWfXbZQBzkwR-JcCeY8IVXk	Osmow's Shawarma	100 Bayshore Dr, unit FH6, Nepean, ON K2B 8C1, Canada	(613) 721-0010	https://osmows.com/shawarma-nepean-bayshore-shopping-centre/	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00
ChIJIYQI1kH6zUwRMiLsb517J-M	Richmond Gourmet Restaurant	3518 McBean St, Richmond, ON K0A 2Z0, Canada	(613) 838-2888	http://richmondgourmet.ca/	15:00 - 20:00	11:30 - 20:00	11:30 - 20:00	11:30 - 20:00	11:00 - 20:30	11:00 - 20:30	11:00 - 20:30
ChIJIaI9urEA0kwRvMd671MTtEU	Classic Shawarma	1110 Carp Rd #145, Stittsville, ON K2S 1B9, Canada	(613) 435-5660	https://classicshawarma.ca/	11:00 - 21:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJIxxCPHpw6lIRPtzdpI5BEvg	Domino's Pizza	700 Eagleson Rd, Kanata, ON K2M 2G9, Canada	(613) 592-1022	https://pizza.dominos.ca/kanata-ontario-10408/	10:30 - 00:00	10:30 - 00:00	10:30 - 00:00	10:30 - 00:00	10:30 - 00:00	10:30 - 01:00	10:30 - 01:00
ChIJJ4V1j5L_0UwRTn-I2q_F0xQ	Perspectives Restaurant at Brookstreet	525 Legget Dr, Kanata, ON K2K 2W2, Canada	(613) 271-1800	https://www.brookstreethotel.com/perspectives-restaurant	08:00 - 14:30	07:00 - 21:30	07:00 - 21:30	07:00 - 21:30	07:00 - 21:30	07:00 - 21:30	08:00 - 21:30
ChIJJUL0rbP4zUwRnF4OSedeJ5Y	Milano Pizzeria	1589 Stittsville Main St, Stittsville, ON K2S 1Y1, Canada	(613) 836-9966	https://stittsville.milanopizzeria.ca/?p=contact	10:00 - 02:00	10:00 - 02:00	10:00 - 02:00	10:00 - 02:00	10:00 - 02:00	10:00 - 02:00	10:00 - 02:00
ChIJJVksht0AzkwRMcVaVxuYFjo	KFC	100 Bayshore Dr T40, Nepean, ON K2B 8C1, Canada	(613) 721-7664	https://www.kfc.ca/menu/for-sharing?utm_source=Google&utm_medium=LocalSearch	12:00 - 17:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 17:00
ChIJJZksVPIBzkwRhl_HKZKQFok	Restaurant Antonyme	150 Rue Principale, Gatineau, QC J9H 3M4, Canada	(819) 557-0523	http://www.restaurant-antonyme.ca/	10:00 - 14:00	17:00 - 22:00	17:00 - 22:00	17:00 - 22:00	17:00 - 22:00	17:00 - 22:00	n/a
ChIJJaKLsywBzkwR6fj7vlKkTB4	Akai bowl health food smoothie and bowl of Acai	100 Bayshore Dr, Nepean, ON K2B 8C1, Canada	(613) 614-8156	http://akaibowl.ca/	11:00 - 18:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00	11:00 - 21:00
ChIJJclQKXEA0kwROrVUtZwO79U	Kelseys Original Roadhouse	130 Earl Grey Dr, Kanata, ON K2T 1B6, Canada	(613) 599-4343	https://www.kelseys.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00
ChIJJf_ISnX90UwRQdEyPbMf0sY	Griyem!! Restaurant Antillais Sur Door Dash	300 Rue de la Lobo, Gatineau, QC J9J 1K9, Canada	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
ChIJJx1unNIAzkwRP8McMNuNzJE	Supreme Kabob House	2750 Iris St, Ottawa, ON K2C 3C9, Canada	(613) 596-9777	http://www.supremekabobhouse.ca/	11:30 - 19:30	11:30 - 19:00	11:30 - 19:30	11:30 - 19:30	11:30 - 20:00	11:30 - 20:00	n/a
ChIJJx1unNIAzkwRwL9u_gXdjnU	Big Rig Kitchen & Brewery - Iris	2750 Iris St, Ottawa, ON K2C 3C9, Canada	(613) 688-3336	https://bigrigbrew.com/	08:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 00:00	08:00 - 00:00
ChIJK0IJt6MBzkwRWtLhSr0mCX0	Chili Craft Pizza (Carling)	68 Wylie Ave, Ottawa, ON K2B 6M4, Canada	(613) 828-1111	https://chilicraft.ca/	13:00 - 22:00	16:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00	12:00 - 23:00
ChIJK2Sk844BzkwRYLhL6wbdItU	Jimmie's Pizza	10 Rue Belmont, Gatineau, QC J9H 6J5, Canada	(819) 684-4331	https://jimmiespizza.com/	11:00 - 22:00	15:00 - 21:30	15:00 - 21:30	15:00 - 21:30	15:00 - 21:30	11:00 - 22:00	11:00 - 22:00
ChIJK5f_z4oA0kwRcoHG0xz1yNw	Teriyaki Experience	8555 Campeau Dr, Ottawa, ON K2T 0K5, Canada	(613) 435-1092	https://www.teriyakiexperience.com/	10:00 - 18:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00	09:30 - 21:00
ChIJKTVSalYBzkwRGVcwJvc38Qs	Mary Brown's Chicken & Taters	3098 Carling Ave Unit 6B, Nepean, ON K2B 7K2, Canada	(613) 828-0808	http://marybrowns.com/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00
ChIJKWb-Xe_5zUwRM-AaQRLUrL8	Crave Tacos	1610 Stittsville Main St, Stittsville, ON K2S 1B8, Canada	(613) 482-2866	https://www.facebook.com/cravetaco/	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	11:00 - 19:00	n/a	n/a
